filename,speaker,index,model,duration_s,word_count,words_per_sec,avg_confidence,wer
VN1-RATML-DANNY.m4a,DANNY,1,vosk-model-small-en-us-0.15,1.1255,18,15.9929,0.9756,8.5
VN3-RATML-KEVIN.m4a,KEVIN,3,vosk-model-small-en-us-0.15,1.0421,16,15.3536,0.979,2.1667
VN4-RATML-DECLAN.m4a,DECLAN,4,vosk-model-small-en-us-0.15,1.2691,22,17.3351,0.85,1.1818
VN6-RATML-DANNY.m4a,DANNY,6,vosk-model-small-en-us-0.15,0.9708,16,16.4813,0.9562,4.3333
VN8-RATML-KEVIN.m4a,KEVIN,8,vosk-model-small-en-us-0.15,1.2126,19,15.6688,0.9709,0.6667
VN9-RATML-DECLAN.m4a,DECLAN,9,vosk-model-small-en-us-0.15,1.2299,16,13.0092,0.9718,0.125
VN11-RATML-DANNY.m4a,DANNY,11,vosk-model-small-en-us-0.15,1.068,23,21.5356,0.9281,3.1667
VN13-RATML-KEVIN.m4a,KEVIN,13,vosk-model-small-en-us-0.15,1.0544,18,17.0713,0.9042,1.75
VN14-RATML-DECLAN.m4a,DECLAN,14,vosk-model-small-en-us-0.15,1.0174,15,14.7435,0.9635,2.75
VN16-RATML-DANNY.m4a,DANNY,16,vosk-model-small-en-us-0.15,1.0919,17,15.5692,0.9602,8.0
VN18-RATML-KEVIN.m4a,KEVIN,18,vosk-model-small-en-us-0.15,1.0015,13,12.9805,0.9158,0.2308
VN19-RATML-DECLAN.m4a,DECLAN,19,vosk-model-small-en-us-0.15,1.0695,16,14.9603,0.8581,0.25
VN21-RATML-DANNY.m4a,DANNY,21,vosk-model-small-en-us-0.15,1.0779,17,15.7714,0.9879,0.1765
VN23-RATML-KEVIN.m4a,KEVIN,23,vosk-model-small-en-us-0.15,1.0559,10,9.4706,0.9161,0.3
VN24-RATML-DECLAN.m4a,DECLAN,24,vosk-model-small-en-us-0.15,0.9398,17,18.089,0.9835,0.25
VN26-RATML-DANNY.m4a,DANNY,26,vosk-model-small-en-us-0.15,0.8366,10,11.9531,1.0,0.4444
TOTAL,,,vosk-model-small-en-us-0.15,18.1035,263,,,
