Metric,Result
Most words,"ANIKA, 145 words"
Least words,"DECLAN, 6 words"
Total speaking time,475.2 seconds
Average speaking time per speaker,95.04 seconds
1 speaker by time,"ANIKA, 269.06 seconds"
2 speaker by time,"DANNY, 93.87 seconds"
3 speaker by time,"KEVIN, 42.58 seconds"
4 speaker by time,"DECLAN, 36.18 seconds"
5 speaker by time,"ANTON, 33.51 seconds"
ANTON average speech rate,2.54 words/second
DANNY average speech rate,2.44 words/second
ANIKA average speech rate,2.35 words/second
KEVIN average speech rate,2.23 words/second
DECLAN average speech rate,1.58 words/second
