Metric,Result
Most words,"DANNY, 101 words"
Least words,"KEVIN, 76 words"
Total speaking time,135.94 seconds
Average speaking time per speaker,6 seconds
1 speaker by time,"DANNY, 36.76 seconds"
2 speaker by time,"DECLAN, 34.87 seconds"
3 speaker by time,"KEVIN, 32.9 seconds"
4 speaker by time,"ANIKA, 31.41 seconds"
DANNY average speech rate,2.75 words/second
ANIKA average speech rate,2.74 words/second
DECLAN average speech rate,2.38 words/second
KEVIN average speech rate,2.31 words/second
Most questions,"DANNY, 6 questions"
