filename,speaker,version,transcript
RATML-ANIKA-VN1.m4a,ANIKA,VN1,if the manner of a man's diane usually seems arbitrary his morality is inescapable human lives are full of such combinations of necessity and we are all aware of the contingency of or particular genetic heritage or gender or life era or physical capabilities are mother tongue and so forth the great merit of traditional religious world views which naturally must be distinguished from their role in the legitimation of specific systems of domination that exploitation has been there concern with man in the cosmos man of species being and the contingency of life the extra ordinary survival of over thousands of years of buddhism christianity or islam in dozens of different social formations a test to their imaginative response to the overwhelming burden of human suffering disease mutilation grief age and death
RATML-ANIKA-VN2.m4a,ANIKA,VN2,the haste nervousness restlessness observed since the rise of the big cities is now spreading in a manner of epidemic as it once the plague and cholera in the process forces are being unleashed at the were undreamed of by the scurrying passer by of the nineteenth century everybody must have projects all the time the maximum must be extracted from leisure this is planned used for undertakings crammed with visits to every conceivable site or spectacle are just with the fastest possible locomotion the shadow of all of this falls on intellectual work it is done on with a bad conscience as if it had been poached from some urgent if only imaginary occupation to justify itself in its own eyes it's puts on a show of hectic activity performed under great pressure and shortage of time which excludes all reflections and therefore itself
RATML-ANIKA-VN3.m4a,ANIKA,VN3,among the concepts to which after the dissolution of it's religious and the formalization of it's autonomous norms bourgeois morality has shrunk that of genuineness ranks highest if nothing else can be blindingly required of man then at least he should be wholly and entirely what he is in the identity of each individual with himself the postulate of incorruptible truth together with the glorification of the factual are transferring from enlightenment knowledge to ethics it is just the critically independently bourgeois thinkers sickened by traditional judgments an idealistic phrases who concur with this view
RATML-ANIKA-VN4.m4a,ANIKA,VN4,there is a certain gesture of virility be at one's own or someone else's that cause for suspicion it expresses independence sureness of the power to command the tacit complicity of all males earlier this was called with odd respect the whim of the master today it has been democratized and film hero show the most insignificant bank clerk how it's done it's archetype is the handsome dinner jacketed figure returning late to his bachelor flat switching on the indirect lighting and mixing himself a whiskey and soda the carefully recorded hissing of the mineral water says what the arrogant mouth keeps to itself that he despises anything that does not smell of smoke leather and shaving cream particularly women which is why they precisely find him irresistible
RATML-ANIKA-VN5.m4a,ANIKA,VN5,the private relations between peoples the modeled on the industrial bottleneck and even the smallest community the level was determined by the more sub altar and of its members anyone who in conversation talks over the head of even one person is tactless for the sake of humana the talk is restricted to the most obvious dullest and tried to matters if just one inhuman face is present now that the world has made men speechless not to be on speaking terms is to be in the right the wordless need only stick a movably to their interests in nature is to get their way it is enough that the other vein seeking vainly seeking contact falls into a pleading or soliciting tone for him to be at a diff disadvantage
RATML-ANTON-VN1.m4a,ANTON,VN1,hello my name is anthony and i'm leaving in london
RATML-ANTON-VN2.m4a,ANTON,VN2,forward than five years i'm living in london and working as a software engineer for a bit more than two years
RATML-ANTON-VN3.m4a,ANTON,VN3,i would like to go to italy on my card the summer
RATML-ANTON-VN4.m4a,ANTON,VN4,i like to buy them as if he needs a great program language which which should be known by all the software developers in the world
RATML-ANTON-VN5.m4a,ANTON,VN5,i hope of the all my effort i'll of able to upload these recordings to the good health
RATML-DANNY-VN1.m4a,DANNY,VN1,hello rage against the machine learning today i am recording a short snippet fold the project
RATML-DANNY-VN2.m4a,DANNY,VN2,i don't know about you guys but i really enjoyed yesterday's clos i thought the pad programming stuff was really useful and it was good to get to know everybody better
RATML-DANNY-VN3.m4a,DANNY,VN3,i have already run out of ideas so i'm going to read what the pipeline should achieve we need to recalled sure spoken statements from different team members transcribe the speech within don't want to a model such as waske correct the transcript with an ai option for example gemini a poi local allama or another model save the results in a csv dates that enrich your data with python holiday the dataset before analysis and produce basic speaking analytics
RATML-DANNY-VN4.m4a,DANNY,VN4,i'm going to read one of my favorite quotes plant and frank how wonderful it is that no one has to wait even a minute to start gradually changing the world
RATML-DANNY-VN5.m4a,DANNY,VN5,and this is one of my favorite lines from one of my favorite books had she really thought i would not know him i could recognize him by touch of learn by smell i would know him blind by the way his breaths came and his feet struck the earth i wouldn't know him in death at the end of the world as the from the song of achilles by madeline miller
RATML-DECLAN-VN1.m4a.m4a,DECLAN,VN1,hi my name is declan and i am from ireland
RATML-DECLAN-VN2.m4a.m4a,DECLAN,VN2,i have two dogs back in ireland nyla and eli are their names
RATML-DECLAN-VN3.m4a.m4a,DECLAN,VN3,i have lived in london for over four years now i live in hackney
RATML-DECLAN-VN4.m4a.m4a,DECLAN,VN4,the summer i will be going to romania and visiting transylvania
RATML-DECLAN-VN5.m4a.m4a,DECLAN,VN5,hopefully these recordings have loaded successfully
RATML-KEVIN-VN1.m4a,KEVIN,VN1,the colony ship breached the exosphere and the viewport suddenly bloom but the iridescent violent storm of kepler four or five to be
RATML-KEVIN-VN2.m4a,KEVIN,VN2,inside the cabin gravity stabilizers hummed fighting the crushing atmospheric drag
RATML-KEVIN-VN3.m4a,KEVIN,VN3,below them a sprawling ocean of liquid mercury married the aliens sky
RATML-KEVIN-VN4.m4a,KEVIN,VN4,while crystalline inspires rose like frozen lightning from the shimmering deep waiting for the first human footprint
RATML-KEVIN-VN5.m4a,KEVIN,VN5,stuff your eyes with wonder he said live as if you drop dead and ten seconds see the world it's more fantastic than any dream made are paid for in factories
