filename,speaker,version,transcript,total_speaking_time_seconds
RATML-ANIKA-VN1.m4a,ANIKA,VN1,if the manner of a man's dying usually seems arbitrary his morality is inescapable human lives were full of such combinations of necessity and trance we are all aware of the contingency of our particular genetic heritage or gender or life era or physical capabilities are mother tongue and so forth the great merit of traditional religious broad views which naturally must be distinguished from their role in the legitimation a specific systems of domination that exploitation has been there concern with man in the cosmos manner species being and the contingency of life the extra ordinary survival of over thousands of years of buddhism christianity or islam in dozens of different social formations attest to their imaginative response to the overwhelming burden of human suffering disease mutilation grief age and death,55.21
RATML-ANIKA-VN2.m4a,ANIKA,VN2,the haste nervousness restlessness observed since the rise of the big cities is now spreading in a manner of epidemic as did once the plague and cholera and the process forces are being unleashed a aware and dreamed up by the scurrying passer by of the nineteenth century everybody must have projects all the time the maximum must be extracted from leisure this is planned used for undertakings crammed with visits to every conceivable site or spectacle are just with the fast as possible locomotion the shadow of all of this falls on intellectual work it has done with a bad conscience as if it had been poached from some urgent if only imaginary occupation to justify itself and its own eyes it's puts on a show of hectic activity performed under great pressure and shortage of time which excludes all reflections and therefore itself,60.54
RATML-ANIKA-VN3.m4a,ANIKA,VN3,among the concepts to which after the dissolution of it's religious and the formalization of it's autonomous norms bourgeois morality has shrunk that of genuine genuineness ranks highest if nothing else can be blindingly required of man then at least he should be wholly and entirely what he is in the identity of each individual with himself the postulate of incorruptible truth together with the glorification of the factual are transferring from enlightenment knowledge to ethics it is just the critically dependent lay bourgeois thinkers sickened by traditional judgments an idealistic phrases who concur with this view,43.95
RATML-ANIKA-VN4.m4a,ANIKA,VN4,there is a certain gesture of virility be at one's own or someone elses that cause for suspicion it expresses independence sureness of the power to command the tacit complicity of all males earlier this was called with all respect the whim of the master today it has been democratized and film hero show the most and significant bank clerk how it's done it's archetype is the handsome dinner jacket at figure returning late to his bachelor spot switching on the indirect lighting and and himself a whiskey and soda the carefully recorded hissing of the mineral water says what the arrogant mouth keeps to itself that he despises anything that does not smell of smoke leather and shaving cream particularly women which is why they precisely find him irresistible,53.55
RATML-ANIKA-VN5.m4a,ANIKA,VN5,private relations between peoples the modeled on the industrial bottleneck and even the smallest community the levels determined by the most sub altar and of it's members anyone who in conversation talks over the head of even one person is tactless for the sake of humanity talk is restricted to the most obvious dullest and try cyst matters if just one in human face is present now that the world has made men speechless not to be on speaking terms is to be in the right the wordless need only stick immovable he to their interests and nature to get their way it is enough that the other veins seeking vainly seeking contact falls into a pleading are soliciting tone for him to be at a depth disadvantage,55.81
RATML-ANTON-VN1.m4a,ANTON,VN1,hello my name is anthony and i'm living in london,3.97
RATML-ANTON-VN2.m4a,ANTON,VN2,forward in five years i'm living in london and work in as a software engineer for bit more than two years,7.87
RATML-ANTON-VN3.m4a,ANTON,VN3,i would like to go to italy on my god this summer,4.2
RATML-ANTON-VN4.m4a,ANTON,VN4,i like or bite them as if he needs a great programming language which should be known by all the software developers in the world,9.32
RATML-ANTON-VN5.m4a,ANTON,VN5,i hope of the all my effort i'll be able to upload recordings to the get help,8.15
RATML-DANNY-VN1.m4a,DANNY,VN1,hello rage against the machine learning today i am recording a short snippet for the project,9.56
RATML-DANNY-VN2.m4a,DANNY,VN2,i don't know about you guys but i really enjoyed yesterday's class i thought the paid programming stuff was really useful am and it was good to get to know everybody better,13.4
RATML-DANNY-VN3.m4a,DANNY,VN3,i have already run out of ideas so anger and to read what the pipeline should achieve we need to record short spoken statements from different team members transcribe the speech within wanted a model such as waske correct the transcript with an ai option for example gemini a yeah i local alarm or another model save the results in a csv dates that enrich your data with python holiday the dataset before analysis and produce basic speaking analytics,34.58
RATML-DANNY-VN4.m4a,DANNY,VN4,and going to read one of my favorite quotes by anne frank how wonderful it is that no one has to weigh even a minute to start gradually changing the world,11.67
RATML-DANNY-VN5.m4a,DANNY,VN5,and this is one of my favorite lines from one of my favorite books had she really thought i would not know him i could recognize him by touch alone by smell i would know him blind by the way his breaths came and his feet struck the earth i would know him in death at the end of the world as that from the soul of achilles by madeline miller,24.66
RATML-DECLAN-VN1.m4a.m4a,DECLAN,VN1,hi my name is tackling and i am from ireland,7.13
RATML-DECLAN-VN2.m4a.m4a,DECLAN,VN2,i have two dogs back in ireland nala and early are their names,7.85
RATML-DECLAN-VN3.m4a.m4a,DECLAN,VN3,i have lived in london for over four years now i live in hackney,7.53
RATML-DECLAN-VN4.m4a.m4a,DECLAN,VN4,the summer i will be going to romania and but this is in transylvania,7.91
RATML-DECLAN-VN5.m4a.m4a,DECLAN,VN5,hopefully these recordings have loaded successfully,5.76
RATML-KEVIN-VN1.m4a,KEVIN,VN1,the colony ship breach the excess fear and the view poured suddenly bloom but the iridescent violent storm of kepler for five to be,10.67
RATML-KEVIN-VN2.m4a,KEVIN,VN2,inside the cabin gravity stabilizers hummed fighting the crushing atmospheric drag,6.85
RATML-KEVIN-VN3.m4a,KEVIN,VN3,below them but sprawling ocean of liquid mercury married the alien sky,6.63
RATML-KEVIN-VN4.m4a,KEVIN,VN4,while crystaline spires rose like frozen lightning from the shimmering deep waiting for the first human footprint,7.7
RATML-KEVIN-VN5.m4a,KEVIN,VN5,stuff your eyes with wonder he said live as if you drop dead and ten seconds see the world it's more fantastic than any dream made are paid for in factories,10.73
