filename,speaker,index,model,recording_length_s,duration_s,rtf,word_count,words_per_sec,avg_confidence,wer
VN1-RATML-DANNY.m4a,DANNY,1,vosk-model-en-us-0.22-lgraph,6.8267,5.8737,0.8604,19,3.2348,0.975,9.0
VN2-RATML-ANIKA.m4a,ANIKA,2,vosk-model-en-us-0.22-lgraph,7.808,6.0585,0.7759,18,2.971,0.9104,1.0
VN3-RATML-KEVIN.m4a,KEVIN,3,vosk-model-en-us-0.22-lgraph,7.5733,5.9368,0.7839,16,2.6951,0.9386,2.1667
VN4-RATML-DECLAN.m4a,DECLAN,4,vosk-model-en-us-0.22-lgraph,8.128,6.3914,0.7863,22,3.4421,0.9391,1.0
VN5-RATML-ANTON.m4a,ANTON,5,vosk-model-en-us-0.22-lgraph,11.4773,8.7348,0.7611,19,2.1752,0.8664,0.7059
VN6-RATML-DANNY.m4a,DANNY,6,vosk-model-en-us-0.22-lgraph,5.7387,6.1206,1.0665,15,2.4507,0.8929,4.0
VN7-RATML-ANIKA.m4a,ANIKA,7,vosk-model-en-us-0.22-lgraph,6.1867,6.9744,1.1273,17,2.4375,0.9686,2.4
VN8-RATML-KEVIN.m4a,KEVIN,8,vosk-model-en-us-0.22-lgraph,7.744,6.9204,0.8936,20,2.89,0.8096,0.8333
VN9-RATML-DECLAN.m4a,DECLAN,9,vosk-model-en-us-0.22-lgraph,8.5973,6.4354,0.7485,17,2.6416,0.9123,0.25
VN10-RATML-ANTON.m4a,ANTON,10,vosk-model-en-us-0.22-lgraph,8.0,8.0525,1.0066,18,2.2353,0.7791,5.3333
VN11-RATML-DANNY.m4a,DANNY,11,vosk-model-en-us-0.22-lgraph,6.4,6.2965,0.9838,22,3.494,0.86,2.8333
VN12-RATML-ANIKA.m4a,ANIKA,12,vosk-model-en-us-0.22-lgraph,7.0827,6.0815,0.8586,17,2.7954,0.9747,0.1176
VN13-RATML-KEVIN.m4a,KEVIN,13,vosk-model-en-us-0.22-lgraph,5.9947,6.9266,1.1555,20,2.8874,0.8575,1.625
VN14-RATML-DECLAN.m4a,DECLAN,14,vosk-model-en-us-0.22-lgraph,5.9093,6.0885,1.0303,15,2.4637,0.9625,2.75
VN15-RATML-ANTON.m4a,ANTON,15,vosk-model-en-us-0.22-lgraph,10.5813,10.5062,0.9929,19,1.8085,0.7862,1.75
VN16-RATML-DANNY.m4a,DANNY,16,vosk-model-en-us-0.22-lgraph,6.9333,5.5666,0.8029,17,3.0539,0.9939,8.0
VN17-RATML-ANIKA.m4a,ANIKA,17,vosk-model-en-us-0.22-lgraph,5.5893,4.9053,0.8776,17,3.4656,0.9752,2.0
VN18-RATML-KEVIN.m4a,KEVIN,18,vosk-model-en-us-0.22-lgraph,5.952,5.6807,0.9544,13,2.2885,0.9471,0.2308
VN19-RATML-DECLAN.m4a,DECLAN,19,vosk-model-en-us-0.22-lgraph,6.6987,6.4639,0.9649,16,2.4753,0.9494,0.3125
VN20-RATML-ANTON.m4a,ANTON,20,vosk-model-en-us-0.22-lgraph,7.1253,6.9683,0.978,15,2.1526,0.7507,2.0
VN21-RATML-DANNY.m4a,DANNY,21,vosk-model-en-us-0.22-lgraph,6.5707,5.7422,0.8739,17,2.9605,0.9798,0.1765
VN22-RATML-ANIKA.m4a,ANIKA,22,vosk-model-en-us-0.22-lgraph,4.736,4.3235,0.9129,15,3.4694,0.9721,0.5
VN23-RATML-KEVIN.m4a,KEVIN,23,vosk-model-en-us-0.22-lgraph,5.6533,6.2957,1.1136,10,1.5884,0.8361,0.4
VN24-RATML-DECLAN.m4a,DECLAN,24,vosk-model-en-us-0.22-lgraph,5.5253,5.2891,0.9573,17,3.2142,0.9462,0.25
VN25-RATML-ANTON.m4a,ANTON,25,vosk-model-en-us-0.22-lgraph,7.4667,6.2647,0.839,18,2.8732,0.8751,4.0
VN26-RATML-DANNY.m4a,DANNY,26,vosk-model-en-us-0.22-lgraph,4.288,4.6291,1.0795,10,2.1602,0.9402,0.3333
TOTAL,,,vosk-model-en-us-0.22-lgraph,,167.9109,,439,,,
