OVERALL MODEL COMPARISON
Metric,V15,V22,Delta (V22-V15),Winner
Avg Word Error Rate (WER),2.0481,2.0757,0.0276,V15 better
Avg Confidence Score,0.9351,0.9076,-0.0275,V15 better
Avg Words Per Second,11.949,2.7048,-9.2442,V15 better
Avg Real-Time Factor (RTF),0.2063,0.9302,0.7239,V15 better

PER-SPEAKER COMPARISON
speaker,WER_V15,WER_V22,Confidence_V15,Confidence_V22,Words/Sec_V15,Words/Sec_V22,RTF_V15,RTF_V22
ANIKA,1.2835,1.2035,0.9516,0.9602,13.1197,3.0278,0.2131,0.9105
ANTON,2.5446,2.7578,0.8863,0.8115,10.865,2.249,0.1828,0.9155
DANNY,4.1035,4.0572,0.9677,0.9403,12.6044,2.8924,0.2178,0.9445
DECLAN,0.875,0.9125,0.926,0.9419,11.889,2.8474,0.2065,0.8975
KEVIN,1.0228,1.0512,0.9375,0.8778,11.1359,2.4699,0.2088,0.9802

PER-RECORDING COMBINED TABLE
filename,speaker,index,wer_V15,avg_confidence_V15,words_per_sec_V15,rtf_V15,wer_V22,avg_confidence_V22,words_per_sec_V22,rtf_V22
VN1-RATML-DANNY.m4a,DANNY,1.0,8.5,0.9756,11.7157,0.2251,9.0,0.975,3.2348,0.8604
VN2-RATML-ANIKA.m4a,ANIKA,2.0,1.0,0.9021,13.7343,0.1772,1.0,0.9104,2.971,0.7759
VN3-RATML-KEVIN.m4a,KEVIN,3.0,2.1667,0.9793,12.1387,0.174,2.1667,0.9386,2.6951,0.7839
VN4-RATML-DECLAN.m4a,DECLAN,4.0,1.0,0.8707,12.3381,0.1994,1.0,0.9391,3.4421,0.7863
VN5-RATML-ANTON.m4a,ANTON,5.0,0.7647,0.8267,11.6611,0.1494,0.7059,0.8664,2.1752,0.7611
VN6-RATML-DANNY.m4a,DANNY,6.0,4.3333,0.9563,13.3356,0.2091,4.0,0.8929,2.4507,1.0665
VN7-RATML-ANIKA.m4a,ANIKA,7.0,2.8,0.9631,13.8846,0.2095,2.4,0.9686,2.4375,1.1273
VN8-RATML-KEVIN.m4a,KEVIN,8.0,0.6667,0.9709,12.6204,0.1944,0.8333,0.8096,2.89,0.8936
VN9-RATML-DECLAN.m4a,DECLAN,9.0,0.125,0.9733,10.6503,0.1747,0.25,0.9123,2.6416,0.7485
VN10-RATML-ANTON.m4a,ANTON,10.0,5.0,0.8324,11.3182,0.1878,5.3333,0.7791,2.2353,1.0066
VN11-RATML-DANNY.m4a,DANNY,11.0,3.1667,0.926,16.146,0.2226,2.8333,0.86,3.494,0.9838
VN12-RATML-ANIKA.m4a,ANIKA,12.0,0.1176,0.9479,11.4927,0.2088,0.1176,0.9747,2.7954,0.8586
VN13-RATML-KEVIN.m4a,KEVIN,13.0,1.75,0.9049,12.945,0.232,1.625,0.8575,2.8874,1.1555
VN14-RATML-DECLAN.m4a,DECLAN,14.0,2.75,0.9745,10.9657,0.2315,2.75,0.9625,2.4637,1.0303
VN15-RATML-ANTON.m4a,ANTON,15.0,2.125,0.8481,11.493,0.1727,1.75,0.7862,1.8085,0.9929
VN16-RATML-DANNY.m4a,DANNY,16.0,8.0,0.9604,12.3853,0.198,8.0,0.9939,3.0539,0.8029
VN17-RATML-ANIKA.m4a,ANIKA,17.0,2.0,0.9743,13.7942,0.2205,2.0,0.9752,3.4656,0.8776
VN18-RATML-KEVIN.m4a,KEVIN,18.0,0.2308,0.916,10.42,0.2096,0.2308,0.9471,2.2885,0.9544
VN19-RATML-DECLAN.m4a,DECLAN,19.0,0.25,0.8287,12.0319,0.1985,0.3125,0.9494,2.4753,0.9649
VN20-RATML-ANTON.m4a,ANTON,20.0,1.3333,0.9723,7.8606,0.2143,2.0,0.7507,2.1526,0.978
VN21-RATML-DANNY.m4a,DANNY,21.0,0.1765,0.9877,12.5582,0.206,0.1765,0.9798,2.9605,0.8739
VN22-RATML-ANIKA.m4a,ANIKA,22.0,0.5,0.9707,12.6925,0.2495,0.5,0.9721,3.4694,0.9129
VN23-RATML-KEVIN.m4a,KEVIN,23.0,0.3,0.9163,7.5552,0.2341,0.4,0.8361,1.5884,1.1136
VN24-RATML-DECLAN.m4a,DECLAN,24.0,0.25,0.9828,13.459,0.2286,0.25,0.9462,3.2142,0.9573
VN25-RATML-ANTON.m4a,ANTON,25.0,3.5,0.952,11.9921,0.1899,4.0,0.8751,2.8732,0.839
VN26-RATML-DANNY.m4a,DANNY,26.0,0.4444,1.0,9.4859,0.2458,0.3333,0.9402,2.1602,1.0795
